,type,value,start,end,name,createdAt,instanceId,id
63,Counter,16014,,,agent.ping.count,2022-01-23T21:02:37,pop-os,32877
64,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:35,pop-os,32881
65,Counter,16013,,,agent.ping.count,2022-01-23T21:02:35,pop-os,32876
66,Measurement,26,,,agent.ping.roundtriptime,2022-01-23T21:02:33,pop-os,32875
67,Counter,16012,,,agent.ping.count,2022-01-23T21:02:33,pop-os,32870
68,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:02:31,pop-os,32874
69,Counter,16011,,,agent.ping.count,2022-01-23T21:02:31,pop-os,32869
70,Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:02:29,pop-os,32873
71,Counter,16010,,,agent.ping.count,2022-01-23T21:02:29,pop-os,32868
72,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:27,pop-os,32872
73,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:02:27,agent.ping.average.failure,2022-01-23T21:02:27,pop-os,32871
74,Counter,16009,,,agent.ping.count,2022-01-23T21:02:27,pop-os,32867
75,Counter,16008,,,agent.ping.count,2022-01-23T21:02:25,pop-os,32866
76,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:02:24,pop-os,32865
77,Measurement,23,,,agent.ping.roundtriptime,2022-01-23T21:02:22,pop-os,32864
78,Counter,16007,,,agent.ping.count,2022-01-23T21:02:22,pop-os,32860
79,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:20,pop-os,32863
80,Counter,16006,,,agent.ping.count,2022-01-23T21:02:20,pop-os,32859
81,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:18,pop-os,32862
82,Counter,16005,,,agent.ping.count,2022-01-23T21:02:18,pop-os,32858
83,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:16,pop-os,32861
84,Counter,16004,,,agent.ping.count,2022-01-23T21:02:16,pop-os,32857
85,Counter,16003,,,agent.ping.count,2022-01-23T21:02:14,pop-os,32856
86,Measurement,56,,,agent.ping.roundtriptime,2022-01-23T21:02:14,pop-os,32855
87,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:02:12,pop-os,32854
88,Counter,16002,,,agent.ping.count,2022-01-23T21:02:12,pop-os,32849
89,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:10,pop-os,32853
90,Counter,16001,,,agent.ping.count,2022-01-23T21:02:10,pop-os,32848
91,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:02:08,pop-os,32852
92,Counter,16000,,,agent.ping.count,2022-01-23T21:02:08,pop-os,32847
93,Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:02:06,pop-os,32851
94,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:02:06,agent.ping.average.failure,2022-01-23T21:02:06,pop-os,32850
95,Counter,15999,,,agent.ping.count,2022-01-23T21:02:06,pop-os,32846
96,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:04,pop-os,32845
97,Counter,15998,,,agent.ping.count,2022-01-23T21:02:04,pop-os,32840
98,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:02:02,pop-os,32844
99,Counter,15997,,,agent.ping.count,2022-01-23T21:02:02,pop-os,32839
100,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:00,pop-os,32843
101,Counter,15996,,,agent.ping.count,2022-01-23T21:02:00,pop-os,32838
102,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:01:58,pop-os,32842
103,Counter,15995,,,agent.ping.count,2022-01-23T21:01:58,pop-os,32837
104,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:01:56,pop-os,32841
105,Counter,15994,,,agent.ping.count,2022-01-23T21:01:56,pop-os,32836
106,Measurement,19,,,agent.ping.roundtriptime,2022-01-23T21:01:54,pop-os,32835
107,Counter,15993,,,agent.ping.count,2022-01-23T21:01:54,pop-os,32830
108,Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:01:52,pop-os,32834
109,Counter,15992,,,agent.ping.count,2022-01-23T21:01:52,pop-os,32829
110,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:01:50,pop-os,32833
111,Counter,15991,,,agent.ping.count,2022-01-23T21:01:50,pop-os,32828
112,Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:01:48,pop-os,32832
113,Counter,15990,,,agent.ping.count,2022-01-23T21:01:48,pop-os,32827
114,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:01:46,pop-os,32831
115,Counter,15989,,,agent.ping.count,2022-01-23T21:01:46,pop-os,32826
116,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:01:45,agent.ping.average.failure,2022-01-23T21:01:45,pop-os,32825
117,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:43,pop-os,32824
118,Counter,15988,,,agent.ping.count,2022-01-23T21:01:43,pop-os,32820
119,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:01:41,pop-os,32823
120,Counter,15987,,,agent.ping.count,2022-01-23T21:01:41,pop-os,32819
121,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:01:39,pop-os,32822
122,Counter,15986,,,agent.ping.count,2022-01-23T21:01:39,pop-os,32818
123,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:01:37,pop-os,32821
124,Counter,15985,,,agent.ping.count,2022-01-23T21:01:37,pop-os,32817
125,Counter,15984,,,agent.ping.count,2022-01-23T21:01:35,pop-os,32816
126,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:01:35,pop-os,32815
127,Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:01:33,pop-os,32814
128,Counter,15983,,,agent.ping.count,2022-01-23T21:01:33,pop-os,32810
129,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:31,pop-os,32813
130,Counter,15982,,,agent.ping.count,2022-01-23T21:01:31,pop-os,32809
131,Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:01:29,pop-os,32812
132,Counter,15981,,,agent.ping.count,2022-01-23T21:01:29,pop-os,32808
133,Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:01:27,pop-os,32811
134,Counter,15980,,,agent.ping.count,2022-01-23T21:01:27,pop-os,32807
135,Counter,15979,,,agent.ping.count,2022-01-23T21:01:25,pop-os,32806
136,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:01:25,pop-os,32805
137,Measurement,0,2022-01-23T20:43:39,2022-01-23T21:01:25,agent.ping.average.failure,2022-01-23T21:01:25,pop-os,32804
138,Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:01:23,pop-os,32803
139,Counter,15978,,,agent.ping.count,2022-01-23T21:01:23,pop-os,32799
140,Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:21,pop-os,32802
141,Counter,15977,,,agent.ping.count,2022-01-23T21:01:21,pop-os,32798
142,Measurement,28,,,agent.ping.roundtriptime,2022-01-23T21:01:19,pop-os,32801
143,Counter,15976,,,agent.ping.count,2022-01-23T21:01:19,pop-os,32797
144,Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:01:17,pop-os,32800
145,Counter,15975,,,agent.ping.count,2022-01-23T21:01:17,pop-os,32796
