type,value,start,end,name,createdAt,instanceId
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:02:27,agent.ping.average.failure,2022-01-23T21:02:27,pop-os
Counter,16009,,,agent.ping.count,2022-01-23T21:02:27,pop-os
Counter,16008,,,agent.ping.count,2022-01-23T21:02:25,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:02:24,pop-os
Measurement,23,,,agent.ping.roundtriptime,2022-01-23T21:02:22,pop-os
Counter,16007,,,agent.ping.count,2022-01-23T21:02:22,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:20,pop-os
Counter,16006,,,agent.ping.count,2022-01-23T21:02:20,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:18,pop-os
Counter,16005,,,agent.ping.count,2022-01-23T21:02:18,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:16,pop-os
Counter,16004,,,agent.ping.count,2022-01-23T21:02:16,pop-os
Counter,16003,,,agent.ping.count,2022-01-23T21:02:14,pop-os
Measurement,56,,,agent.ping.roundtriptime,2022-01-23T21:02:14,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:02:12,pop-os
Counter,16002,,,agent.ping.count,2022-01-23T21:02:12,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:10,pop-os
Counter,16001,,,agent.ping.count,2022-01-23T21:02:10,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:02:08,pop-os
Counter,16000,,,agent.ping.count,2022-01-23T21:02:08,pop-os
Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:02:06,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:02:06,agent.ping.average.failure,2022-01-23T21:02:06,pop-os
Counter,15999,,,agent.ping.count,2022-01-23T21:02:06,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:02:04,pop-os
Counter,15998,,,agent.ping.count,2022-01-23T21:02:04,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:02:02,pop-os
Counter,15997,,,agent.ping.count,2022-01-23T21:02:02,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:02:00,pop-os
Counter,15996,,,agent.ping.count,2022-01-23T21:02:00,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:01:58,pop-os
Counter,15995,,,agent.ping.count,2022-01-23T21:01:58,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:01:56,pop-os
Counter,15994,,,agent.ping.count,2022-01-23T21:01:56,pop-os
Measurement,19,,,agent.ping.roundtriptime,2022-01-23T21:01:54,pop-os
Counter,15993,,,agent.ping.count,2022-01-23T21:01:54,pop-os
Measurement,15,,,agent.ping.roundtriptime,2022-01-23T21:01:52,pop-os
Counter,15992,,,agent.ping.count,2022-01-23T21:01:52,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:01:50,pop-os
Counter,15991,,,agent.ping.count,2022-01-23T21:01:50,pop-os
Measurement,18,,,agent.ping.roundtriptime,2022-01-23T21:01:48,pop-os
Counter,15990,,,agent.ping.count,2022-01-23T21:01:48,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:01:46,pop-os
Counter,15989,,,agent.ping.count,2022-01-23T21:01:46,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:01:45,agent.ping.average.failure,2022-01-23T21:01:45,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:43,pop-os
Counter,15988,,,agent.ping.count,2022-01-23T21:01:43,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:01:41,pop-os
Counter,15987,,,agent.ping.count,2022-01-23T21:01:41,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:01:39,pop-os
Counter,15986,,,agent.ping.count,2022-01-23T21:01:39,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:01:37,pop-os
Counter,15985,,,agent.ping.count,2022-01-23T21:01:37,pop-os
Counter,15984,,,agent.ping.count,2022-01-23T21:01:35,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:01:35,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:01:33,pop-os
Counter,15983,,,agent.ping.count,2022-01-23T21:01:33,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:31,pop-os
Counter,15982,,,agent.ping.count,2022-01-23T21:01:31,pop-os
Measurement,17,,,agent.ping.roundtriptime,2022-01-23T21:01:29,pop-os
Counter,15981,,,agent.ping.count,2022-01-23T21:01:29,pop-os
Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:01:27,pop-os
Counter,15980,,,agent.ping.count,2022-01-23T21:01:27,pop-os
Counter,15979,,,agent.ping.count,2022-01-23T21:01:25,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:01:25,pop-os
Measurement,0,2022-01-23T20:43:39,2022-01-23T21:01:25,agent.ping.average.failure,2022-01-23T21:01:25,pop-os
Measurement,16,,,agent.ping.roundtriptime,2022-01-23T21:01:23,pop-os
Counter,15978,,,agent.ping.count,2022-01-23T21:01:23,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:21,pop-os
Counter,15977,,,agent.ping.count,2022-01-23T21:01:21,pop-os
Measurement,28,,,agent.ping.roundtriptime,2022-01-23T21:01:19,pop-os
Counter,15976,,,agent.ping.count,2022-01-23T21:01:19,pop-os
Measurement,12,,,agent.ping.roundtriptime,2022-01-23T21:01:17,pop-os
Counter,15975,,,agent.ping.count,2022-01-23T21:01:17,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:01:15,pop-os
Counter,15974,,,agent.ping.count,2022-01-23T21:01:15,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:13,pop-os
Counter,15973,,,agent.ping.count,2022-01-23T21:01:13,pop-os
Measurement,14,,,agent.ping.roundtriptime,2022-01-23T21:01:11,pop-os
Counter,15972,,,agent.ping.count,2022-01-23T21:01:11,pop-os
Measurement,27,,,agent.ping.roundtriptime,2022-01-23T21:01:09,pop-os
Counter,15971,,,agent.ping.count,2022-01-23T21:01:09,pop-os
Measurement,13,,,agent.ping.roundtriptime,2022-01-23T21:01:07,pop-os
Counter,15970,,,agent.ping.count,2022-01-23T21:01:07,pop-os
Measurement,11,,,agent.ping.roundtriptime,2022-01-23T21:01:04,pop-os
Measurement,1,2022-01-23T20:43:39,2022-01-23T21:01:04,agent.ping.average.failure,2022-01-23T21:01:04,pop-os
Counter,15969,,,agent.ping.count,2022-01-23T21:01:04,pop-os
Measurement,93,,,agent.ping.roundtriptime,2022-01-23T21:01:02,pop-os
